cycle_id,start_size,raw_edge,edge_after_fees,estimated_pnl,limiting_leg,book_staleness_ms
USDT:USDF:BTC:USDT,10,0.0017591801245813814,0.00025729254855970526,0.002572925485597053,USDFUSDT,353.0
USDT:USDF:BTC:USDT,25,0.0017591801245813814,0.00025729254855970526,0.006432313713992632,USDFUSDT,433.0
USDT:USDF:BTC:USDT,50,0.0017591801245813814,0.00025729254855970526,0.012864627427985264,USDFUSDT,457.0
USDT:USDF:BTC:USDT,100,0.0017591801245813814,0.00025729254855970526,0.025729254855970527,USDFUSDT,482.0
USDT:USDF:BTC:USDT,100,0.0015946994693278004,9.305849094907323e-05,0.009305849094907323,USDFUSDT,950.0
USDT:USDF:BTC:USDT,10,0.001593916973346575,9.227716812504549e-05,0.0009227716812504548,USDFUSDT,807.0
USDT:USDF:BTC:USDT,25,0.001593916973346575,9.227716812504549e-05,0.002306929203126137,USDFUSDT,890.0
USDT:USDF:BTC:USDT,50,0.001593916973346575,9.227716812504549e-05,0.004613858406252274,USDFUSDT,919.0
USDT:BTC:USDF:USDT,10,0.0015820355585482845,7.992704395635389e-05,0.0007992704395635389,BTCUSDT,1196.0
USDT:BTC:USDF:USDT,25,0.0015820355585482845,8.02364389652172e-05,0.00200591097413043,BTCUSDT,1244.0
USDT:BTC:USDF:USDT,50,0.0015820355585482845,8.03395706348383e-05,0.004016978531741915,BTCUSDT,1276.0
USDT:BTC:USDF:USDT,100,0.0015820355585482845,8.039113646964885e-05,0.008039113646964885,BTCUSDT,1312.0
USDT:BTC:USDF:USDT,10,0.0015720394851233726,7.000704395635389e-05,0.0007000704395635389,BTCUSDT,65.0
USDT:BTC:USDF:USDT,25,0.0015720394851233726,7.02780389652172e-05,0.00175695097413043,BTCUSDT,96.0
USDT:BTC:USDF:USDT,50,0.0015720394851233726,7.03683706348383e-05,0.003518418531741915,BTCUSDT,96.0
USDT:USDF:BTC:USDT,10,0.0015579386492476398,5.635278453301298e-05,0.0005635278453301299,USDFUSDT,127.0
USDT:USDF:BTC:USDT,25,0.0015579386492476398,5.635278453301298e-05,-0.0055810827146538155,USDFUSDT,143.0
USDT:USDF:BTC:USDT,50,0.0015579386492476398,5.635278453301298e-05,-0.025218499178286273,USDFUSDT,159.0
USDT:USDF:BTC:USDT,100,0.0015579386492476398,5.635278453301298e-05,-0.0644933321055512,USDFUSDT,175.0
USDT:BTC:USDF:USDT,100,0.0015370547993588514,3.549193646964885e-05,0.0035491936469648853,BTCUSDT,128.0
